"TAHUN","SEMESTER","MAHASISWA","PROSEN_HADIR_RATA_RATA"
2022,1,20339,6.25
2022,2,21005,90.28
2022,2,17292,97.92
2023,2,22764,100
2023,2,22966,93.13
2023,2,24128,91.67
2023,2,21330,100
2023,2,24230,99.43
2024,1,26134,98.96
2024,2,25349,95
2024,2,24300,91.25
2025,1,22969,99.22
2025,1,27925,97.5
2025,1,28408,99.31
2025,1,27567,99.43
2025,1,28610,96.02
2025,1,26428,98.86
2025,1,25482,100
2025,1,27051,87.5
2022,1,20239,96.88
2022,2,20548,83.33
2022,2,22837,97.5
2022,2,22994,90.91
2022,2,22624,97.73
2023,1,24333,96.88
2023,2,22476,96.88
2023,2,20214,62.5
2024,1,24564,93.06
2024,1,22415,92.36
2024,1,26419,96.53
2024,2,24606,96.25
2024,2,21052,92.19
2025,1,28604,99.48
2025,1,24088,76.56
2025,1,28917,96.25
2025,1,25558,100
2022,1,19632,78.13
2022,2,22935,93.75
2022,2,18063,100
2023,2,22104,87.5
2024,2,22686,100
2025,1,28223,96.15
2025,1,28399,98.21
2022,2,17689,92.5
2022,2,21630,94.32
2023,2,21070,100
2024,2,21499,100
2024,2,20876,93.75
2024,2,21826,95.83
2022,2,21479,96.09
2024,1,24596,98.08
2024,2,21455,91.67
2023,2,21217,91.67
2024,2,22746,100
2023,2,18918,100
2024,2,21263,68.75
2023,2,21009,93.75
2022,2,19836,62.5
2022,3,21711,43.75
2022,2,20156,68.75
2023,2,20933,75
2022,1,21062,100
2022,1,21516,90.42
2022,1,20570,95.14
2022,1,21464,94.71
2022,1,22510,97.32
2022,1,22593,100
2022,1,22767,99.43
2022,1,20125,100
2022,1,20308,88.13
2022,1,20573,90
2022,1,21260,93.13
2022,1,21555,96.09
2022,1,20719,95.54
2022,1,22882,100
2022,1,23195,99.48
2022,1,19514,83.13
2022,1,22807,98.44
2022,1,22697,95.98
2022,1,17663,98.44
2022,3,21720,81.25
2022,2,22861,96.02
2022,2,23120,100
2022,2,22445,100
2022,2,22495,100
2022,2,21754,86.11
2022,2,22238,96.88
2022,2,20959,91.48
2022,2,22719,99.38
2022,2,21771,93.75
2022,2,23298,97.6
2022,2,20720,98.3
2022,2,21138,97.73
2022,2,22099,93.18
2022,2,20715,98.3
2022,2,21695,98.3
2022,2,17709,89.58
2022,2,17673,92.86
2022,2,18990,98.96
2023,1,22683,89.06
2023,1,22498,96.59
2023,1,23943,99.38
2023,1,24126,100
2023,1,24572,99.06
2023,1,22095,94.89
2023,1,22538,95.45
2023,1,24360,98.96
2023,1,24240,96.59
2023,1,24189,98.13
2023,1,22882,100
2023,1,23752,91.96
2023,1,22092,95.63
2023,1,21141,90.97
2023,1,20985,100
2023,1,22464,98.96
2023,1,22036,99.38
2023,1,22516,92.5
2023,1,22031,100
2023,1,22981,91.88
2023,2,23717,100
2023,2,24557,99.06
2023,2,22822,96.02
2023,2,22823,95
2023,2,24485,82.95
2023,2,22366,98.86
2023,2,24197,94.32
2023,2,24102,98.3
2023,2,21715,86.88
2023,2,24054,92.61
2023,2,22586,97.73
2023,2,23663,98.13
2023,2,23756,98.86
2023,2,22297,99.43
2023,2,23537,97.22
2023,2,21720,100
2023,2,24437,95.83
2023,2,21670,81.25
2023,2,22924,99.38
2023,2,18851,95.31
2023,2,23714,97.92
2023,2,22204,98.86
2023,2,24407,98.86
2023,2,22126,86.36
2023,2,23810,95.31
2024,1,23227,91.15
2024,1,26975,100
2024,1,26025,100
2024,1,26005,100
2024,1,26347,100
2024,1,26006,100
2024,1,24546,98.86
2024,1,26525,48.44
2024,1,25363,99.11
2024,1,26565,98.86
2024,1,22393,86.81
2024,1,22262,96.15
2024,1,25673,97.92
2024,1,22224,100
2024,1,22055,90.1
2024,1,22480,98.66
2024,1,25644,100
2024,1,24270,99.38
2024,1,26126,98.13
2024,1,23045,99.48
2024,1,24111,99.04
2024,1,22585,99.38
2024,1,24917,96.88
2024,1,24324,89.2
2024,1,26236,97.6
2024,1,26987,98.96
2024,1,25994,95.45
2024,1,24212,97.4
2024,1,25772,100
2024,1,24026,100
2024,1,26509,98.96
2024,1,25890,99.11
2024,1,24060,95.63
2024,1,24283,88.13
2024,1,20808,100
2024,2,24282,98.3
2024,2,26839,96.53
2024,2,25964,100
2024,2,24141,99.43
2024,2,24092,94.44
2024,2,24217,98.75
2024,2,26502,100
2024,2,20786,93.75
2024,2,24336,99.43
2024,2,24098,93.06
2024,2,25391,100
2024,2,20685,100
2024,2,25976,98.86
2024,2,24612,93.23
2024,2,26501,99.43
2025,1,26868,98.3
2025,1,23832,97.4
2025,1,25324,99.48
2025,1,26137,100
2025,1,27458,100
2025,1,28800,97.73
2025,1,25351,96.35
2025,1,27158,96.69
2025,1,29057,98.13
2025,1,28938,100
2025,1,27273,99.11
2025,1,27300,100
2025,1,24491,99.22
2025,1,26405,100
2025,1,27014,98.86
2025,1,26297,98.75
2025,1,25916,98.86
2025,1,24411,97.5
2025,1,28161,99.48
2025,1,26308,91.15
2025,1,24343,97.6
2025,1,27321,98.13
2025,1,26677,9.66
2025,1,27871,98.96
2025,1,26424,100
2025,1,27907,99.43
2025,1,26498,97.4
2025,1,23698,97.16
2025,1,26151,98.75
2025,1,26664,97.73
2025,1,27469,99.43
2025,1,27337,100
2025,1,27400,100
2025,1,26807,98.86
2025,1,25802,88.02
2025,1,28099,94.27
2022,1,22468,97.32
2022,1,20958,100
2022,1,22183,95
2022,1,22960,100
2022,1,19455,100
2022,1,21117,94.23
2022,1,19416,72.66
2022,1,19226,82.21
2022,1,21550,96.25
2022,1,22688,99.52
2022,1,22477,100
2022,2,22867,93.13
2022,2,21363,96.02
2022,2,22299,97.16
2022,2,22153,96.53
2022,2,21427,84.66
2022,2,22042,92.5
2022,2,20987,87.5
2022,2,23008,97.73
2022,2,19614,100
2022,2,19937,95.31
2022,2,17683,97.5
2022,2,19493,98.75
2023,1,23559,98.13
2023,1,22452,100
2023,1,22029,72.92
2023,1,24267,96.59
2023,1,22281,95
2023,1,21040,93.75
2023,1,24738,98.96
2023,1,20741,95.83
2023,1,23122,91.96
2023,1,24972,92.61
2023,2,22010,100
2023,2,21151,90.63
2023,2,23738,81.94
2023,2,22252,96.25
2023,2,22078,97.73
2023,2,22967,95.63
2023,2,24970,100
2023,2,23545,100
2023,2,22242,75.57
2023,2,22380,97.73
2023,2,24188,95.45
2024,1,25715,100
2024,1,25427,99.38
2024,1,26313,95.83
2024,1,23956,97.16
2024,1,25780,98.13
2024,1,22088,100
2024,1,22023,95.19
2024,1,23946,98.86
2024,1,25750,98.61
2024,1,26870,100
2024,1,25018,95.31
2024,1,26275,97.5
2024,1,27053,98.44
2024,1,22854,89.58
2024,1,24364,92.19
2024,1,22451,95.31
2024,2,24014,98.86
2024,2,26271,96.02
2024,2,23700,98.44
2024,2,24006,93.75
2024,2,25322,97.22
2024,2,26483,99.38
2024,2,25519,93.75
2024,2,25914,96.88
2024,2,25537,98.86
2024,2,25035,97.92
2024,2,25748,97.5
2024,2,25316,99.38
2025,1,25852,91.48
2025,1,22476,94.38
2025,1,28788,98.13
2025,1,27963,96.88
2025,1,25935,100
2025,1,24042,97.6
2025,1,25729,99.48
2025,1,25367,99.22
2025,1,28353,100
2025,1,27767,100
2025,1,26485,97.92
2025,1,25348,85.58
2025,1,28266,97.92
2025,1,22540,93.75
2025,1,23740,90.63
2025,1,25804,98.86
2025,1,24301,98.3
2025,1,27389,99.11
2025,1,24044,82.81
2025,1,25595,100
2022,1,18848,93.75
2022,1,22357,7.03
2022,1,20723,91.48
2022,1,18113,93.06
2022,1,21552,100
2022,2,16062,98.75
2022,2,21276,92.71
2022,2,22273,92.61
2022,2,19595,87.5
2022,2,22083,99.48
2023,1,23048,96.53
2023,1,22573,97.12
2023,1,24661,98.75
2023,1,20700,100
2023,1,21127,97.22
2023,1,24235,98.13
2023,1,23286,97.32
2023,1,24234,100
2023,2,23763,97.22
2023,2,23524,98.75
2023,2,23000,90.28
2023,2,24077,84.72
2024,1,26074,99.38
2024,1,25335,94.89
2024,1,23626,99.04
2024,1,23024,99.52
2024,1,24361,89.2
2024,1,25472,88.07
2024,1,26830,96.53
2024,1,26042,100
2024,2,25620,98.3
2024,2,25711,100
2024,2,22147,100
2024,2,25599,92.36
2024,2,24343,98.56
2024,2,26396,97.92
2024,2,26710,95.45
2024,2,25624,99.43
2024,2,25332,98.86
2024,2,21416,93.75
2024,2,24016,95.31
2024,2,24082,97.73
2025,1,27282,99.38
2025,1,23598,92.19
2025,1,28890,100
2025,1,27211,100
2025,1,27725,95.45
2025,1,25837,99.43
2025,1,26087,96.59
2025,1,25653,96.88
2025,1,28883,99.38
2025,1,27860,96.53
2025,1,24686,12.5
2022,1,20915,95.94
2022,1,18202,94.53
2022,1,20263,98.61
2022,1,22561,98.13
2022,2,22656,99.38
2022,2,22646,97.92
2022,2,22954,86.93
2023,1,22639,98.96
2023,1,23980,97.16
2023,1,23213,95
2023,2,24273,86.81
2023,2,23650,100
2023,2,24562,94.32
2023,2,22186,84.72
2023,2,24555,97.16
2023,2,22488,100
2023,2,22216,85.42
2024,1,26362,95.45
2024,1,22016,100
2024,1,25881,100
2024,1,26041,100
2024,1,25860,98.75
2024,2,26321,98.61
2024,2,20710,95.31
2024,2,22752,100
2024,2,25329,98.86
2024,2,26322,98.86
2025,1,27693,100
2022,1,21975,99.11
2022,1,20181,94.53
2022,1,22128,98.75
2022,1,22609,96.88
2022,1,18891,96.53
2022,2,18103,95.31
2022,2,19975,95.83
2022,2,17943,92.19
2023,1,22131,97.66
2023,1,24061,100
2023,2,24674,98.75
2024,1,22943,96.35
2024,1,25953,95.45
2024,1,25792,97.22
2024,2,21597,96.88
2025,1,23061,97.92
2022,1,18385,12.5
2022,1,20154,95.83
2022,2,17682,88.75
2022,2,20543,89.58
2022,2,17644,92.5
2023,1,23303,100
2023,2,22436,68.18
2024,2,23197,84.38
2025,1,27105,75
2025,1,24432,12.5
2022,2,19951,95.83
2024,1,22084,95.14
2024,2,21633,93.75
2024,2,22300,100
2022,3,22657,81.25
2022,2,18176,87.5
2024,1,21632,90.63
2024,2,22274,81.25
2022,1,19360,89.58
2022,2,19691,100
2022,1,20278,100
2024,2,20718,100
2024,2,20714,100
2022,2,18162,100
2022,2,18069,100
2022,2,17338,93.75
2023,2,19445,56.25
2022,1,21603,91.83
2022,1,17866,98.44
2022,1,23051,98.56
2022,1,21984,98.21
2022,1,20812,100
2022,1,22777,100
2022,1,21682,94.64
2022,1,23015,100
2022,1,21494,98.44
2022,1,22709,98.86
2022,1,21733,96.15
2022,1,21556,96.02
2022,1,22191,97.32
2022,1,22700,98.96
2022,1,21670,98.96
2022,1,17292,96.88
2022,1,21149,100
2022,1,21976,99.11
2022,1,22706,100
2022,1,21276,98.21
2022,3,19230,100
2022,2,23102,96.88
2022,2,22283,98.75
2022,2,20150,94.32
2022,2,22400,98.75
2022,2,22038,99.38
2022,2,19612,98.44
2022,2,22206,96.53
2022,2,22435,98.75
2022,2,22537,93.23
2022,2,20936,97.16
2022,2,22775,97.73
2022,2,20886,96.88
2022,2,17789,90.63
2022,2,23004,93.75
2022,2,22582,96.53
2022,2,23065,99.38
2022,2,19632,98.96
2022,2,21586,95.63
2022,2,21572,96.02
2022,2,17663,100
2022,2,19441,98.96
2022,2,16460,83.33
2023,1,24987,97.5
2023,1,23602,100
2023,1,22788,97.92
2023,1,23683,100
2023,1,23338,97.5
2023,1,21115,100
2023,1,23314,100
2023,1,21561,94.71
2023,1,24727,100
2023,1,23256,100
2023,2,22514,90.97
2023,2,22499,94.32
2023,2,23720,100
2023,2,22403,82.64
2023,2,24427,98.86
2023,2,22805,99.38
2023,2,22292,89.2
2023,2,22038,100
2023,2,22420,95.83
2023,2,24394,98.86
2023,2,22990,96.09
2023,2,22022,86.11
2023,2,22259,90
2023,2,20964,97.66
2023,2,22738,96.88
2023,2,24432,97.16
2023,2,20731,85
2023,2,21127,97.5
2024,1,25679,100
2024,1,24007,99.31
2024,1,20991,96.88
2024,1,24545,98.96
2024,1,25474,100
2024,1,23977,100
2024,1,22454,98.75
2024,1,26380,9.03
2024,1,25871,98.75
2024,1,24064,100
2024,1,22445,100
2024,1,22494,99.52
2024,1,24570,100
2024,1,24272,98.75
2024,1,26839,97.92
2024,1,26896,98.13
2024,1,22408,97.12
2024,1,22374,97.5
2024,1,24234,99.38
2024,1,24104,99.04
2024,1,22751,96.53
2024,1,22166,100
2024,1,24600,95.45
2024,1,24163,98.44
2024,1,25527,97.16
2024,1,23752,88.64
2024,1,21634,95
2024,1,26439,98.86
2024,1,27114,99.38
2024,2,24448,87.5
2024,2,25474,98.86
2024,2,24291,99.38
2024,2,25841,99.38
2024,2,26196,99.48
2024,2,23961,97.73
2024,2,24079,98.3
2024,2,23939,90.97
2024,2,24614,86.11
2024,2,27012,100
2024,2,25544,100
2024,2,24605,97.5
2024,2,26507,98.3
2024,2,23868,98.96
2024,2,26912,97.22
2024,2,22666,100
2024,2,26835,93.23
2024,2,21078,93.75
2024,2,26182,93.75
2024,2,24620,100
2024,2,24354,100
2024,2,23634,96.88
2024,2,25346,99.31
2024,2,26270,99.38
2024,2,27013,77.08
2025,1,24131,93.36
2025,1,28325,96.88
2025,1,23996,90.91
2025,1,27611,100
2025,1,24260,92.58
2025,1,25450,92.19
2025,1,26813,94.38
2025,1,26423,100
2025,1,27875,97.73
2025,1,26013,98.75
2025,1,24033,97.16
2025,1,28441,99.48
2025,1,23986,97.92
2025,1,27758,100
2025,1,25519,93.13
2025,1,26448,99.31
2025,1,27694,96.15
2025,1,29150,96.88
2025,1,26178,98.08
2025,1,25354,90.38
2025,1,26626,95.83
2025,1,28516,96.63
2025,1,24511,91.25
2025,1,26811,97.92
2025,1,27708,98.61
2025,1,26247,95.19
2025,1,24663,71.09
2025,1,28957,96.25
2025,1,25415,100
2025,1,24316,98.75
2025,1,23040,95.83
2025,1,25350,100
2025,1,23746,98.08
2022,1,21181,100
2022,1,20772,96.02
2022,1,21549,94.79
2022,1,21323,100
2022,1,20150,91.25
2022,1,22418,97.77
2022,1,21004,97.66
2022,1,20848,100
2022,1,20185,98.61
2022,1,20363,94.89
2022,2,23071,97.5
2022,2,20723,96.53
2022,2,21648,96.88
2022,2,22631,95.45
2022,2,20747,94.89
2022,2,20736,96.02
2022,2,20165,98.13
2022,2,18528,87.5
2023,1,24199,99.38
2023,1,20959,92.19
2023,1,20761,95.45
2023,1,22543,100
2023,1,21038,91.67
2023,1,21013,100
2023,1,23254,100
2023,1,23838,99.38
2023,1,24033,96.59
2023,1,23556,99.48
2023,1,22406,93.75
2023,1,23600,99.48
2023,2,23797,98.13
2023,2,23550,99.38
2023,2,22088,97.73
2023,2,22670,96.88
2023,2,22623,93.75
2023,2,23769,100
2023,2,21273,96.88
2023,2,21355,87.5
2024,1,25872,100
2024,1,24367,100
2024,1,25842,99.38
2024,1,26072,95.45
2024,1,23572,99.31
2024,1,25834,98.13
2024,1,23719,100
2024,1,26694,95
2024,1,25807,95.63
2024,1,25957,98.44
2024,1,23833,87.5
2024,1,24725,90.63
2024,1,22939,70.67
2024,1,22043,100
2024,1,23935,97.92
2024,1,24065,100
2024,1,23082,81.94
2024,2,24722,94.44
2024,2,24125,100
2024,2,23517,99.38
2024,2,23699,91.48
2024,2,26622,98.96
2024,2,21507,100
2024,2,20901,96.88
2024,2,21127,93.75
2024,2,26224,97.5
2024,2,24543,97.66
2025,1,27984,97.22
2025,1,22848,93.75
2025,1,26489,100
2025,1,26595,97.73
2025,1,28698,95.45
2025,1,28063,98.75
2025,1,27874,99.43
2025,1,25657,98.96
2025,1,22027,97.92
2025,1,23071,97.5
2025,1,26899,98.86
2025,1,27661,100
2025,1,27445,97.73
2025,1,26241,99.48
2025,1,28600,96.43
2025,1,24568,96.43
2025,1,29263,96.59
2025,1,26368,99.04
2025,1,27054,91.07
2022,1,22822,100
2022,1,20189,96.88
2022,1,20316,92.97
2022,1,21438,89.84
2022,1,19079,80.29
2022,1,20796,98.13
2022,1,23066,97.4
2022,1,21147,95.83
2022,2,22194,83.52
2022,2,22488,95.63
2022,2,22216,91.67
2022,2,22014,100
2022,2,17502,92.19
2022,2,21565,98.3
2022,2,21189,95.63
2022,2,21555,96.88
2022,2,17631,93.75
2022,2,19597,93.75
2022,2,17193,98.44
2022,2,22457,93.13
2022,2,17655,96.88
2023,1,20848,89.06
2023,1,20674,98.44
2023,1,20784,94.53
2023,1,21149,97.16
2023,2,23859,98.13
2023,2,22770,90.34
2023,2,24257,98.86
2023,2,23742,100
2023,2,24416,99.43
2023,2,22702,97.16
2024,1,23870,99.43
2024,1,22359,96.15
2024,1,24316,100
2024,1,26836,95.67
2024,1,25663,100
2024,1,25783,97.92
2024,1,24085,97.92
2024,1,22889,99.38
2024,1,24542,85.23
2024,2,23982,97.16
2024,2,22819,95
2024,2,24160,100
2024,2,24677,98.13
2024,2,25376,98.86
2024,2,23966,95.63
2024,2,24385,99.22
2024,2,26940,98.61
2024,2,24499,100
2024,2,24215,100
2025,1,28575,95.14
2025,1,25785,95
2025,1,26949,100
2025,1,26950,89.38
2025,1,29308,96.09
2022,1,21030,100
2022,2,21031,93.75
2022,2,17635,89.06
2022,2,22618,98.13
2022,2,21429,95.45
2022,2,18220,97.5
2023,1,23102,99.48
2023,1,22601,98.08
2023,1,22851,92.5
2023,1,22121,90.97
2023,1,24276,99.48
2023,1,24237,99.06
2023,2,22267,100
2023,2,23869,94.89
2023,2,20396,93.75
2023,2,21480,97.92
2023,2,22728,100
2023,2,23850,98.3
2024,1,22105,97.77
2024,1,26361,97.92
2024,1,26622,99.43
2024,2,26178,99.43
2024,2,23843,91.48
2024,2,23013,98.44
2024,2,25631,99.31
2024,2,26651,94.32
2024,2,25998,99.43
2024,2,23587,98.3
2024,2,20918,100
2022,2,18181,100
2022,2,19240,96.25
2022,2,20580,97.92
2023,1,22176,100
2023,2,20519,100
2023,2,19634,81.25
2023,2,22287,93.75
2023,2,22793,90.63
2024,2,26433,100
2024,2,27040,72.92
2024,2,20746,100
2024,2,22902,96.88
2024,2,26391,98.44
2025,1,25424,98.75
2025,1,26647,96.63
2025,1,28323,98.13
2025,1,29252,98.75
2021,2,19450,100
2022,2,17868,87.5
2022,2,20673,98.44
2022,2,19063,98.75
2023,1,22155,100
2023,2,19642,92.19
2024,1,26161,100
2024,1,26399,96.88
2024,2,22944,100
2024,2,25787,98.13
2025,1,25971,99.31
2025,1,25949,94.89
2022,2,17391,88.75
2022,4,22301,50
2024,2,20693,92.19
2022,2,17301,100
2022,2,17790,98.96
2024,2,20760,96.88
2024,2,21652,96.88
2024,2,22508,87.5
2022,3,19034,75
2023,2,20335,81.25
2022,3,21291,93.75
2022,3,21086,50
2022,1,19975,6.25
2022,1,21622,99.48
2022,1,20771,94.79
2022,1,22097,99.43
2022,1,22630,95.83
2022,1,19059,92.19
2022,1,22568,99.38
2022,1,22732,97.4
2022,1,21381,20.31
2022,1,21663,98.13
2022,1,20968,99.11
2022,1,21698,97.73
2022,1,22911,100
2022,1,22596,100
2022,1,21472,94.27
2022,2,19123,89.58
2022,2,22451,98.86
2022,2,21291,88.02
2022,2,23116,85.8
2022,2,22544,98.86
2022,2,21168,98.3
2022,2,20906,99.43
2022,2,21443,94.44
2022,2,21188,96.53
2022,2,22943,96.59
2022,2,23059,99.38
2022,2,22199,93.13
2022,2,22049,98.86
2022,2,21477,98.86
2022,2,21602,79.17
2022,2,22224,97.92
2022,2,22385,97.16
2022,2,21177,98.3
2022,2,20781,97.22
2023,1,23203,92.05
2023,1,20325,96.25
2023,1,21706,94.44
2023,1,23555,11.98
2023,1,22248,76.88
2023,1,22948,90.97
2023,1,20818,89.9
2023,1,24299,97.19
2023,1,21107,94.71
2023,1,22864,93.23
2023,1,22140,56.82
2023,1,22593,93.13
2023,1,22600,100
2023,1,24503,90.31
2023,1,21029,85.23
2023,1,20962,98.44
2023,1,24537,97.81
2023,1,20729,98.44
2023,1,21214,95.45
2023,1,22753,100
2023,1,25045,97.92
2023,1,21628,93.75
2023,1,23764,99.38
2023,2,24550,95.45
2023,2,24477,99.43
2023,2,22273,93.06
2023,2,22463,96.53
2023,2,24350,98.86
